Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Easy Apply
Data Engineer,$80K-$150K (Glassdoor est.),"Company Description
Sagence is a management advisory firm dedicated to helping our clients optimize the value of their data assets. From thinking to doing, Sagence works with leading institutions in the acquisition, evaluation, development and management of their critical data assets and in the application of analytics to discover new insights, shorten time-to-value, and drive competitive advantage.
**All candidates must be currently authorized to work in the US on a full-time basis. Sagence does not provide sponsorship for work visas upon hire or once on board.**
Job Overview
Sagence is looking for experienced, client-facing Data Engineers to help us build and sustain our client’s data capabilities and our competitive advantage. Along with the requirements below, candidates must possess deep, practical experience in one or more of the following Data Management competencies; data warehousing, data lakes, reference data or master data management, data architecture, data modeling, data governance, data analysis, business intelligence.
Skills & Requirements:
MUST BE HANDS ON. Candidates should have system development experience and proficiency with system development methodologies and possess the following skills and knowledge:
Must have significant hands-on experience with various IT concepts of data management/engineering (ETL, data modeling, data warehousing, etc.)
Must have significant hands-on experience with SQL, data profiling, and data discovery
Experience building business intelligence, analytics, or reporting solutions - either front-end consumption mechanisms (e.g., Microsoft, Tableau & Qlik) or supply of data for these purposes
Familiarity with data architecture principles/approaches, data environment infrastructure considerations, and data modeling principles/approaches
Ability to drive out technical requirements with business and IT stakeholders for implementations of data solutions
Hands-on experience with Agile delivery methodology
Prior professional experience in an IT management, management consulting, or client facing role is preferred
Knowledge of the Financial Services, Insurance, Healthcare or Retail industries is preferred
Demonstrated ability in engaging, communicating, and presenting to stakeholders across both business and technology functions
Tools and Technology:
Proficient at leveraging tools and technology to drive value for clients. Examples include the following;
Database Management Tools:
Relational – e.g. Oracle, MySQL, Microsoft SQL Server, PostgreSQL, DB, or similar
NoSQL – e.g. MongoDB, Couchbase, DataStax, Redix, MarkLogic, or similar
Cloud – e.g. AWS, Azure, xxx, xxx, xxx
ETL Tools - e.g. Informatica, Talend, Microsoft SSIS, or similar
Data Modeling tools - e.g., Toad, ERWin, ER/Studio, PowerDesigner, IBM Data Architect, or similar
Industry Leading BI tools - e.g., Business Objects, Microsoft, Cognos, Tableau, OBIEE, Qlickview, or similar
General:
Must be currently authorized to work in the US on a full-time basis. Sagence does not provide sponsorship for work visas
3+ years of professional experience working in a related role
Must be collaborative, innovative, curious, and resourceful, and exhibit a positive attitude
Strong desire to work on interesting projects with smart and creative people
Willingness to travel up to 80% of the week (M-Th)
Chicago or New York area candidates preferred, but will consider candidates in other parts of U.S.
Our Culture
Passionate, diverse, creative, genuine, flexible, hands-on…these are just a few of the words that describe our culture. Our Partners are deeply involved in the client work on a daily basis. We have a high-energy workplace with a focus on producing high-quality, impactful results. We are committed to equality of opportunity, fairness, work and lifestyle balance, and mutual respect. We promote an entrepreneurial spirit by encouraging individual initiative and foster a collaborative culture and work environment which includes open communication and on-going learning. We build teamwork through small, dedicated teams who continuously teach each other and learn from one another. We strongly believe these characteristics enable our employees to develop to their fullest potential. To learn more, please visit us at www.sagenceconsulting.com",4.5,"Sagence
4.5","New York, NY","Chicago, IL",1 to 50 employees,2009,Company - Private,Consulting,Business Services,$10 to $25 million (USD),"WCI Consulting, PwC",-1
Senior Data Engineer (Healthcare Domain experience required),$80K-$150K (Glassdoor est.),"Key Responsibilities

- Architect, build, and maintain efficient data pipelines, utilizing a variety of data access technologies (REST APIs, FTP, SQL, S3)

- Work with analytics team to help with automating reporting needs leveraging various solutions like REST APIs or BI tools

- End-to-end development, starting from requirements gathering with stakeholders to deployment to production systems

- Lead greenfield development of innovative applications, analysis, and systems

- Contribute to development of a rapidly growing, integrated datawarehouse that will provide a complete vision of the entire healthcare landscape

- Work with large, alternative datasets (100s of millions of data points) to extract insights and proactively monitor trends

Minimum Qualifications

· Advanced SQL Knowledge

· Proficient in object-oriented development (C#, Java, etc)

· Proficient in creating REST Web Services using C#/Python/Node

· Experience working with large data sets (50+ million rows)

· Ability to architect end-to-end ETL pipelines

· Comfortable writing unit/integration tests, implementing logging/monitoring, and maintaining reliability of internal processes

· Familiarity with software development best practices: Dependency Injection, ORMs, Test-Driven Development, Modular design, etc.

Preferred Skills

· Architect-level experience with development using Cloud tools (ideally Azure)

· Experience with distributed datastores such as Databricks, Spark/Hadoop, Snowflake NoSql, etc.

· Web development in a full-stack capacity (ideally Angular)

· Business Intelligence Experience (Power BI, Tableau, etc.)

· Experience working with EMR or Claims data

Benefits

· Top-of-the-line, company sponsored healthcare insurance

· Unlimited meals

· Full-floor, state-of-the-art gym only for employees with showers, protein shakes, etc

· Always-stocked kitchens/resource rooms

· Monthly happy hours

· Great work-life balance

· Data driven culture at all levels of the firm",3.4,"Enterprise Integration
3.4","New York, NY","Jacksonville, FL",51 to 200 employees,1998,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),-1,-1
Data Engineers,$80K-$150K (Glassdoor est.),"Overview

Job description

Position Overview:

Seeking a highly qualified Data Engineer with a track record of managing and architecting complex data platforms. As a member of the Data Engineering and Operations Team, the Data Engineer will work on data management projects for a wide variety of companies including Cerberus portfolio companies. This person will be responsible to creating programs for loading, transforming, and validating data. This person will also be responsible to lead small teams responsible for the end to end implementation of data platforms for our clients. We are seeking a “player/coach” with the adaptability and flexibility to develop strategies but also get into the weeds and write code. As such, a successful candidate will have deep technical and management expertise across a variety of methodologies as well as have demonstrated management skills.

Responsibilities:
Design and build data management platforms
Design and build scalable data platforms to securely ingest, process, validate, analyze and publish data
Perform POC (proof of concepts), choose the right tools and technologies to be used
Manage large & complex data and analytical projects: data transformation, exploration, performance evaluation & testing
Move existing ETL jobs from traditional data warehouse processing to the big data processing platform, ensure that the jobs are designed to scale
Manage and lead data engineering projects
Collaborate with internal and portfolio company stakeholders in a broad range of sectors to identify business use cases and develop solutions in driving impact through data and analytics
Manage and execute the successful delivery of the data (ETL/ELT) pipelines, analytics platforms and reporting tools to meet business needs
Perform analyses of large structured and unstructured data to solve multiple and complex business problems utilizing advanced statistical techniques, and specialized expertise in the organization and/or industry
Assess data management platforms
Assess the complete landscape of a data refinery (data discovery, data loading, data transformation, data validation and data publish)
Business Knowledge/Technical Skills:
5+ years professional work experience as a data engineer
Extensive experience building highly optimized and scalable data infrastructures using traditional, open sources and cloud computing technologies
Deep experience in data warehousing, data architecture, data quality processes, data warehousing design and implementation, table structure, fact and dimension tables, logical and physical database design, data modeling, reporting process metadata, and ETL processes
Proven experience in developing analytics strategy, roadmap and delivering major change initiatives
Proven experience in negotiating contracts, license optimization, service levels & managing vendors
Ability to set and manage priorities judiciously
Knowledge of: data processing platforms like Hadoop, Spark, Hive, AWS (EMR, Kinesis, lambda, glue) Azure (HDInsight, data factory); airflow; coding best practices (git/stash usage); python, R; Java/Scala; writing production and modular code
Other:
Bachelor's degree required
Master’s degree in in Computer Science, Statistics, Economics, Physics, Engineering, Mathematics, or other closely related field is preferred
This position will be based out of New York City and will require travel
Job description Position Overview: Seeking a highly qualified Data Engineer with a track record of managing and architecting complex data platforms. As a member of the Data Engineering and Operations Team, the Data Engineer will work on data management projects for a wide variety of companies including Cerberus portfolio companies. This person will be responsible to creating programs for loading, transforming, and validating data. This person will also be responsible to lead small teams responsible for the end to end implementation of data platforms for our clients. We are seeking a “player/coach” with the adaptability and flexibility to develop strategies but also get into the weeds and write code. As such, a successful candidate will have deep technical and management expertise across a variety of methodologies as well as have demonstrated management skills. Responsibilities: Design and build data management platforms Design and build scalable data platforms to securely ingest, process, validate, analyze and publish data Perform POC (proof of concepts), choose the right tools and technologies to be used Manage large & complex data and analytical projects: data transformation, exploration, performance evaluation & testing Move existing ETL jobs from traditional data warehouse processing to the big data processing platform, ensure that the jobs are designed to scale Manage and lead data engineering projects Collaborate with internal and portfolio company stakeholders in a broad range of sectors to identify business use cases and develop solutions in driving impact through data and analytics Manage and execute the successful delivery of the data (ETL/ELT) pipelines, analytics platforms and reporting tools to meet business needs Perform analyses of large structured and unstructured data to solve multiple and complex business problems utilizing advanced statistical techniques, and specialized expertise in the organization and/or industry Assess data management platforms Assess the complete landscape of a data refinery (data discovery, data loading, data transformation, data validation and data publish) Business Knowledge/Technical Skills: 5+ years professional work experience as a data engineer Extensive experience building highly optimized and scalable data infrastructures using traditional, open sources and cloud computing technologies Deep experience in data warehousing, data architecture, data quality processes, data warehousing design and implementation, table structure, fact and dimension tables, logical and physical database design, data modeling, reporting process metadata, and ETL processes Proven experience in developing analytics strategy, roadmap and delivering major change initiatives Proven experience in negotiating contracts, license optimization, service levels & managing vendors Ability to set and manage priorities judiciously Knowledge of: data processing platforms like Hadoop, Spark, Hive, AWS (EMR, Kinesis, lambda, glue) Azure (HDInsight, data factory); airflow; coding best practices (git/stash usage); python, R; Java/Scala; writing production and modular code Other: Bachelor's degree required Master’s degree in in Computer Science, Statistics, Economics, Physics, Engineering, Mathematics, or other closely related field is preferred This position will be based out of New York City and will require travel
This is Company overview ...

Which company? Recruiting Company or Client Company???",5.0,"Maestro Technologies
5.0","New York, NY","Trenton, NJ",51 to 200 employees,2003,Company - Private,IT Services,Information Technology,$5 to $10 million (USD),-1,-1
Client Trade Support Engineer,$80K-$150K (Glassdoor est.),"About the Position


This position will support Jane Street’s client-facing trading business, and consists of a mix of operational and project-oriented work.

The operational side of the job is focused on monitoring the health of Jane Street’s client-facing trading infrastructure, and working with the trading desks and technology groups to understand and react to issues as they arise during the trading day. Additionally, the person in this role will assist external clients by acting as a first point of contact for technical questions, data queries, and troubleshooting. Quick thinking and effective communication are important parts of this job.

About You


When not on the support rotation, engineers will work on projects to improve the trading infrastructure, such as:
Writing code to improve the stack of tools and systems for managing, monitoring, and configuring Jane Street’s trading infrastructure.
Working with Trading Systems developers to improve Jane Street's client-facing trading infrastructure.
Onboarding new clients onto Jane Street's trading systems.",4.8,"Jane Street
4.8","New York, NY","New York, NY",501 to 1000 employees,2000,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,-1,-1
Data Engineer,$80K-$150K (Glassdoor est.),"Data Engineer

Job Details
Level
Experienced
Job Location
New York (Home Office) - New York, NY
Position Type
Full Time
Education Level
4 Year Degree
Salary Range
Undisclosed
Travel Percentage
Undisclosed
Job Shift
Day
Job Category
Information Technology
Description
Greater New York Mutual Insurance Company (""GNY"") is an A+ rated, financially stable and growing property casualty insurance company with locations throughout the Northeast. We are currently looking for a dynamic and highly motivated Data Engineer for our New York office.

Responsibilities:
Develop, construct, test, and maintain architectures, such as databases and analytic environments and platform required for structured, semi-structured and unstructured data
Design and develop data pipelines that deliver accurate, consistent, and traceable datasets for data science projects
Support regular and ad-hoc data needs for data scientists
Provide recommendations and implement ways to improve data reliability, efficiency, and quality
Qualifications
Bachelor’s or Master’s degree obtained from an accredited institution preferably in Computer Science, Computer Engineering, and Software Engineering, Data Science, or a related field
3-5 years of professional experience in data science or related field
Experience in database deployment and management and proficient in SQL
Experience in data warehousing and ETL (Extract, Transform, and Load)
Proficient in R, Python, VBA, Excel and Word
Excellent oral and written communication skills",3.7,"GNY Insurance Companies
3.7","New York, NY","New York, NY",201 to 500 employees,1914,Company - Private,Insurance Carriers,Insurance,$100 to $500 million (USD),"Travelers, Chubb, Crum & Forster",True
Operations Engineer,$80K-$150K (Glassdoor est.),"Hi, we're Oscar. We're hiring an Operations Engineer to join our Insurance Operations team in our New York City office.

Oscar is a technology-driven, consumer-focused health insurance startup founded in 2012 and headquartered in New York City. Our goal is to make health insurance simple, transparent, and human. We need your help to do so.

What is the Position?

You'll work within Oscar's Operations organization to improve upon Oscar's adjudication infrastructure and underlying logic, playing an essential role in the transition to a next-generation technology platform for core insurance functions. You will design the rules that determine when and how to pay claims, for establishing data integrations to promote Oscar's entry into new markets and products, and will work closely alongside Oscar's Tech and Data teams to connect your work into the broader Oscar ecosystem. Finally, you will be the owner of projects to contribute to a unique provider and member experience and will be necessary to supporting Oscar's growing membership.

You'll collaborate with the Insurance Operations team, Claims and Member Engineering, data scientists, and business leads. We'll expect you to understand complexity, distill it, and explain it in simple, structured terms.

You will report to the Associate Director, Insurance Operations

Deliverables: What you have to achieve

During the first 6 weeks you have:
Developed a thoughtful understanding of the operations ecosystem (including the underlying technology) and its current strengths, weaknesses, and gaps.
Internalized the coding languages and data structures used in both older health industry systems and the next generation tech platform that Oscar is building.
Begun to form a working relationship with all partners.
During the first 6 months you have:
Build scripts and tools to ensure seamless data integrations between Oscar's external partners and its new insurance technology stack.
Become an expert on the primary member and provider data models used in health insurance operations.
Partnered closely with the Claims Engineering and Data teams to structure and operationalize the next generation of claim adjudication and payment.
On an ongoing basis you will:
Build and oversee Claims and Member data integrations and accompanying technical projects for Oscar's entrance into Medicare Advantage.
Distill the requirements of new product and market expansions and design automated workflows to reduce manual work requirements.
Support the Claims and Member configuration operations team to resolve provider and member escalations through issue investigation, training, and technical tooling.
What leads to your success?

Must-have qualities include:
A bachelor's degree
A technical bend and the ability to use tools to answer questions (e.g. SQL/Python)
Outstanding structured, systematic thinking
A passion for distilling complex concepts and workflows into clear content
2 or more years experience in a technical role (QA analyst, PM, operations analyst, finance, consulting, industrial engineering)
We think it will make a big (positive) difference if you have...
An academic and professional background in coding, math, statistics, or data science
Knowledge and passion of healthcare or health insurance
Are naturally curious and desire to seek the truth
Knowledge management, training, or content development experience
A willingness to master the detail but also zoom out to understand the big picture
Start-up experience
An enjoyment experimenting and iterating on ways to solve a problem
Life at Oscar

At Oscar, being an Equal Opportunity Employer means more than upholding discrimination-free hiring practices. It means that we cultivate an environment where people can be their most authentic selves and find both belonging and support. We're on a mission to change health care -- an experience made whole by our unique backgrounds and perspectives.

We encourage our members to care for their whole selves, and we encourage our employees to do the same with comprehensive medical benefits, generous paid-time off, paid parental leave, retirement plans, company social events, stocked kitchens, wellness programs, and volunteer opportunities.

Reasonable Accommodation

Oscar applicants are considered solely based on their qualifications, without regard to applicant's disability or need for accommodation. Any Oscar applicant who requires reasonable accommodations during the application process should contact the Oscar Benefits Team (accommodations@hioscar.com) to make the need for an accommodation known.

Pay Transparency Policy

Oscar ensures that you won't be discharged or discriminated against based on whether you've inquired about, discussed, or disclosed your pay. Read the full policy here.",3.7,"Oscar Health
3.7","New York, NY","New York, NY",1001 to 5000 employees,2012,Company - Private,Insurance Agencies & Brokerages,Insurance,$2 to $5 billion (USD),-1,True
Senior Data Engineer,$80K-$150K (Glassdoor est.),"Senior Data Engineer

Master’s degree in Information Technology, Computer Science with 2 years experience.

Design, build, & maintain Consumer Identity Management System to match Affinity consumer database using frameworks such MD5 & SHA512.

Build & maintain Analytical Data Platforms using appropriate SQL, NoSQL and NewSQL technologies like MapR, Spark, Hadoop, & Python.

Lead engineering processes to ensure data quality & meta data documentation using tools like Python, Amazon RedShift, Tableau & Confluence.

Perform quantitative analysis of customer data using tools like SaaS & machine learning. Monitor tag transactions to correctly reward consumers based on merchant reward program offerings.

Skills: SQL, NoSQL, NewSQL, MapR, Spark, Hadoop, Python, Amazon RedShift, Tableau, Confluence, SaaS & machine learning.

Send resume to Affinity Solutions, Inc, Attn: HR Department, 875 Avenue of the Americas, 21st Floor, New York, NY 10001.",3.0,"Affinity Solutions
3.0","New York, NY","New York, NY",51 to 200 employees,1998,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,"Commerce Signals, Cardlytics, Yodlee",True
Data Engineer,$80K-$150K (Glassdoor est.),"Our client is a leading hedge fund looking to hire a Data Engineer for their Macro Strategies business unit.

Responsibilities:
Driving innovation through product and platform development
Helping to facilitate bespoke custom basket trades for clients in a scalable infrastructure
Developing infrastructure and tools to administer basket rebalances for external clients and internal trading teams
Automation of corporate action adjustments and improvement of work-flow
Providing metrics for basket trades, to drive sales and trading decisions and to grow the business
Both independent and collaborative work, involving several sales/strat/trading teams globally

Requirements:
Expertise in Python
Strong SQL skills
Web scraping experience
Experience with Linux and Windows platform
Strong communication skills, both written and verbal
Exposure to non-relational databases
Exposure to web UI technologies
Data Warehousing and Modeling expertise
Financial knowledge


If you would like to be considered for the position of Data Engineer or wish to discuss the role further then please leave your details below. Your resume will be held in confidence until you connect with a member of our team
Email: info@njfsearch.com or call London (0207 604 4444,) New York (212 400 4845) or Chicago (312 204 72176) to speak to a member of our team. Thank you",4.2,"NJF Global Holdings
4.2","New York, NY","London, United Kingdom",51 to 200 employees,2003,Company - Private,Staffing & Outsourcing,Business Services,$10 to $25 million (USD),-1,True
Data Research Developer,$80K-$150K (Glassdoor est.),"About Us

Teza is a quantitative asset management firm that strives to develop innovative, high-Sharpe investment products for its clients. Originally founded in 2009 as a science and technology-driven global quantitative trading business, Teza derives its unique edge in asset management from its high-frequency trading past and science-based investment approaches. Under the leadership of CEO Misha Malyshev, Teza's innovative approaches to quantitative research and platform engineering distinguish us from other quant trading firms. We have successfully attracted and assembled a group of top talent, including widely recognized experts in quantitative trading. Teza has over 50 professionals worldwide with offices in Austin, Chicago, New York, and Shanghai.

About the Role

Teza Technologies is looking for a data engineer to join our quantitative development team who will be a close partner to our Equities Statistical Arbitrage trading team . This role can be based in New York, NY or Austin, TX. Data drives systematic trading and is critical to all aspects of the firm's business. This is a hands-on position with significant growth potential. The firm is looking for outstanding technical skills, strong attention to detail, and experience with both systems development and data modeling.

Responsibilities
Communicate with quantitative researchers and other end-users to understand their requirements and potential future requests
Investigate vendor data thoroughly to become a subject matter expert on its characteristics and irregularities
Develop ETL processing components using cutting edge technologies, and write robust tests for on-going quality control
Support developed transformations and ETL frameworks in production trading as well as backtest research
Build flexible data API components in iterations with research peers to ensure their needs are met
Optimize data IO and load balancing for distributed, grid computation
Analyze a variety of large data sets to develop and implement alpha signals
Requirements
Detail oriented
Strong programming skills, preference for Python, Java is a plus
Experience with the scientific Python stack, Numpy, Scipy, Pandas, Matplotlib
Ability to find practical solutions and successfully make trade-offs between long-term goals and short-term deliverables
Ability to troubleshoot difficult problems, both numerically and technically
Proficient with SQL, experience with Postgres is a plus
Experience with Hadoop, Spark, and Docker is a plus
Preferred Education and Experience
Computer Science/Math or similar degree
2-5 years of professional experience, ideally exposure to work with complex data sets and all stages of cleaning, preparing data to be used in specific format",4.3,"Teza Technologies
4.3","New York, NY","Chicago, IL",51 to 200 employees,2009,Company - Private,Financial Analytics & Research,Finance,Unknown / Non-Applicable,-1,-1
Data Engineer (Python),$80K-$150K (Glassdoor est.),"What we're looking for

We are looking for a motivated data engineer who is passionate about building reliable and scalable data pipelines to make data sets available for analysis. The ideal candidate is entrepreneurial, motivated to grow, and has a passion for Python development.
Our Engineering Values
Collaboration: We believe that engineers do their best work when working together in cohesive teams.
Excellence: We believe in doing things the ""right way"" rather than the ""fast way"", and holding ourselves to a high standard of excellence.
Growth: We believe engineers do their best work when they are constantly growing, learning, and changing.
Communication: We believe in combining empathy with openness and honesty to set clear expectations and hold each other accountable.
Impact: We believe we're making the world a better place by empowering marketers to really help their customers rather than just sell stuff.

What you'll be doing
Developing and enhancing multiple ETL pipelines
Designing and implementing data storage structures and ETL pipelines, keeping long-term impacts in mind
Assemble large, complex data sets that meet functional / non-functional business requirements.
Working knowledge of message queuing, stream processing, and highly scalable 'big data' data stores.
Strong project management and organizational skills.
Identifying and improving upon current internal processes through automation and optimization

Who you are:


Bachelor's degree in Computer Science, Mathematics, or related field/equivalent experience
3+ years of experience with Python, Java, Scala, R, Go or similar language
3+ years of experience in working with cloud computing technology (AWS, Google Cloud Platform, etc.)
3+ years experience working on data warehouse systems such as Snowflake
Have developed systems based on key principles (consistency and availability, liveness and safety, durability, reliability, fault-tolerance, consensus algorithms)
Comfortable using version control and working in a collaborative environment
Experienced with CI/CD tools for testing and deployment
Self-starter with the ability to work independently or in a team
Able to manage one's schedule and prioritize tasks independently
Why You Should Join


At Conductor, we are looking for engaged and passionate engineers that can raise the bar. There is a tremendous opportunity here to have immediate impact in the day-to-day and affect the company's success and growth. We all share in the same values and push each other to meet these standards.

We are made up of a diverse group of people from all backgrounds and include a team of exceptional engineers in Kyiv as well. Wherever you are from, you will find a common ground here for continuing to push forward your career and make a difference in this industry.

Conductor, Inc. is an equal opportunity employer. We celebrate diversity and are committed to creating an inclusive environment for all employees.

About Conductor


Conductor's search and content intelligence platform helps marketers create and optimize content to improve visibility online.

The technology generates customer intent insights that lead to compelling content, increased traffic, and higher organic marketing ROI. Customizable dashboards and workflows guide marketers through the content creation process, empowering them to measure, refine, and demonstrate the effectiveness of their SEO and content marketing efforts.

In addition to its SaaS platform, Conductor offers a suite of services and support including site audits, site migrations, and managed services that empower in-house marketing teams and digital marketing agencies to drive results and put their customers' needs first.

Conductor's forward-thinking customers include global and emerging enterprise brands like Citibank, Salesforce, ClassPass, and WeWork.",4.4,"Conductor
4.4","New York, NY","New York, NY",201 to 500 employees,2010,Company - Private,Internet,Information Technology,$25 to $50 million (USD),"Brightedge Technologies, Moz, seoClarity",True
